num_children,num_threads,time
1,          1,          394.052345
2,          1,          194.664908
5,          1,          96.582680
10,         1,          57.393608
20,         1,          55.140141
1,          2,          222.368145
2,          2,          130.764116
5,          2,          77.738222
10,         2,          57.973349
20,         2,          63.703118
1,          5,          224.807174
2,          5,          133.744711
5,          5,          79.024139
10,         5,          57.813655
20,         5,          56.563090
1,          10,          230.097656
2,          10,          135.418242
5,          10,          79.059961
10,         10,          57.041502
20,         10,          63.883061
1,          20,          229.269893
2,          20,          135.426675
5,          20,          79.547360
10,         20,          56.744055
20,         20,          55.613426
1,          1,          397.727417
1,          2,          267.173372
1,          5,          106.208345
1,          10,         72.322677
1,          20,         55.756776
2,          1,          227.791105
2,          2,          178.716883
2,          5,          116.392247
2,          10,         74.123237
2,          20,         57.090350
5,          1,          232.809099
5,          2,          181.176362
5,          5,          108.894084
5,          10,         75.885917
5,          20,         58.489340
10,         1,          234.497715
10,         2,          182.085324
10,         5,          109.494809
10,         10,         84.196856
10,         20,         65.503507
20,         1,          228.965601
20,         2,          179.714841
20,         5,          109.231120
20,         10,         77.551112
20,         20,         58.473175
